# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.057829359452e-01       5.159319291844e+03 
       1.089839718391e-01       4.966677312895e+03 
       1.121868420755e-01       4.810157028869e+03 
       1.153908324266e-01       4.680700478260e+03 
       1.185955077964e-01       4.568226164597e+03 
       1.218006033688e-01       4.463109866547e+03 
       1.250059579924e-01       4.357183912634e+03 
       1.282114735525e-01       4.243797445899e+03 
       1.314170902444e-01       4.118514713422e+03 
       1.346227715420e-01       3.980368164857e+03 
       1.378284950670e-01       3.830057783637e+03 
       1.410342470441e-01       3.670242766787e+03 
       1.442400189343e-01       3.505348327276e+03 
       1.474458053903e-01       3.340239505380e+03 
       1.506516030147e-01       3.180163701012e+03 
       1.538574096054e-01       3.029448085116e+03 
       1.570632236960e-01       2.891538591646e+03 
       1.602690442773e-01       2.768785430418e+03 
       1.634748706258e-01       2.661963734813e+03 
       1.666807021999e-01       2.571005753576e+03 
       1.698865385759e-01       2.494404897232e+03 
       1.730923794085e-01       2.430220551705e+03 
       1.762982244060e-01       2.375515072128e+03 
       1.795040733151e-01       2.327490525049e+03 
       1.827099259110e-01       2.283147715211e+03 
       1.859157819909e-01       2.240054970196e+03 
       1.891216413698e-01       2.195530534485e+03 
       1.923275038775e-01       2.147532976933e+03 
       1.955333693566e-01       2.095195998059e+03 
       1.987392376607e-01       2.038340422756e+03 
       2.019451086532e-01       1.977486171080e+03 
       2.051509822068e-01       1.913912903832e+03 
       2.083568582019e-01       1.849135792165e+03 
       2.115627365265e-01       1.784755619113e+03 
       2.147686170754e-01       1.722351273872e+03 
       2.179744997497e-01       1.663165469900e+03 
       2.211803844563e-01       1.608063853230e+03 
       2.243862711073e-01       1.557878114408e+03 
       2.275921596201e-01       1.512681324912e+03 
       2.307980499166e-01       1.472641033379e+03 
       2.340039419228e-01       1.437283696848e+03 
       2.372098355691e-01       1.406076027745e+03 
       2.404157307893e-01       1.378161915814e+03 
       2.436216275209e-01       1.352616552814e+03 
       2.468275257047e-01       1.328369797647e+03 
       2.500334252845e-01       1.304696435938e+03 
       2.532393262068e-01       1.280659721546e+03 
       2.564452284211e-01       1.255833064170e+03 
       2.596511318792e-01       1.229999680850e+03 
       2.628570365352e-01       1.202991184806e+03 
       2.660629423457e-01       1.174927007334e+03 
       2.692688492691e-01       1.146069485936e+03 
       2.724747572660e-01       1.116794642342e+03 
       2.756806662986e-01       1.087608410659e+03 
       2.788865763311e-01       1.059003274406e+03 
       2.820924873292e-01       1.031420889274e+03 
       2.852983992601e-01       1.005267708385e+03 
       2.885043120926e-01       9.808126102606e+02 
