# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   96       3.463964874843e-10       9.624090324033e-14      -2.756652422088e-12       3.781535452973e-16       1.130827524318e-11       1.524563484910e-12      -7.508221886423e-15 
   97       3.504953540058e-10       9.829470154060e-14      -2.844835824876e-12       3.861491392229e-16       1.101014794647e-11       1.492224103697e-12      -7.427757457249e-15 
   98       3.546219826016e-10       1.003351096322e-13      -2.933326954467e-12       3.942344749159e-16       1.072172388511e-11       1.460826337305e-12      -7.348538703438e-15 
   99       3.587752495081e-10       1.023600880237e-13      -3.022054707481e-12       4.024100682058e-16       1.044207012664e-11       1.430273441068e-12      -7.272313053464e-15 
  100       3.629550177881e-10       1.043677554564e-13      -3.110952046812e-12       4.106764680316e-16       1.017105023388e-11       1.400555470232e-12      -7.199291209608e-15 
  101       3.671613158561e-10       1.063562617164e-13      -3.199952273590e-12       4.190342495121e-16       9.908685480939e-12       1.371679978743e-12      -7.129250478479e-15 
  102       3.713940443960e-10       1.083237432860e-13      -3.288987727931e-12       4.274840118046e-16       9.654928073453e-12       1.343647420585e-12      -7.061922790590e-15 
  103       3.756529709591e-10       1.102683240981e-13      -3.377989812011e-12       4.360263785688e-16       9.409658682144e-12       1.316450889202e-12      -6.996993272883e-15 
  104       3.799377245617e-10       1.121881162892e-13      -3.466889013142e-12       4.446619984314e-16       9.172683976435e-12       1.290075856901e-12      -6.934098821243e-15 
  105       3.842477902836e-10       1.140812209538e-13      -3.555614926851e-12       4.533915454504e-16       8.943734158044e-12       1.264499914268e-12      -6.872826673017e-15 
  106       3.885825038651e-10       1.159457288972e-13      -3.644096279957e-12       4.622157195795e-16       8.722460494578e-12       1.239692509582e-12      -6.812712979532e-15 
  107       3.929410463059e-10       1.177797213901e-13      -3.732260953644e-12       4.711352471324e-16       8.508432853135e-12       1.215614688220e-12      -6.753241378614e-15 
  108       3.973224384623e-10       1.195812709213e-13      -3.820036006544e-12       4.801508812472e-16       8.301137233895e-12       1.192218832075e-12      -6.693841567106e-15 
  109       4.017255356453e-10       1.213484419524e-13      -3.907347697810e-12       4.892634023510e-16       8.099973303720e-12       1.169448398966e-12      -6.633887873386e-15 
  110       4.061492200010e-10       1.230793395126e-13      -3.994122026875e-12       4.984736000340e-16       7.904389739120e-12       1.147251015258e-12      -6.572826413367e-15 
  111       4.105930172227e-10       1.247722604382e-13      -4.080286381728e-12       5.077822150406e-16       7.714315232943e-12       1.125620217197e-12      -6.510578116517e-15 
  112       4.150565490222e-10       1.264255629892e-13      -4.165768145747e-12       5.171899906894e-16       7.529778288103e-12       1.104558588739e-12      -6.447184846944e-15 
  113       4.195393389837e-10       1.280376219475e-13      -4.250494227713e-12       5.266976910771e-16       7.350773239725e-12       1.084064758000e-12      -6.382685268726e-15 
  114       4.240408091059e-10       1.296068298404e-13      -4.334391089959e-12       5.363061013611e-16       7.177259143138e-12       1.064133267899e-12      -6.317114682151e-15 
  115       4.285602763436e-10       1.311315981650e-13      -4.417384776531e-12       5.460160280405e-16       7.009158661862e-12       1.044754446808e-12      -6.250504859955e-15 
  116       4.330969491494e-10       1.326103586116e-13      -4.499400941337e-12       5.558282992378e-16       6.846356955595e-12       1.025914279200e-12      -6.182883883558e-15 
  117       4.376499240154e-10       1.340415642877e-13      -4.580364876304e-12       5.657437649812e-16       6.688700568208e-12       1.007594276293e-12      -6.114275979303e-15 
  118       4.422181820148e-10       1.354236909420e-13      -4.660201539535e-12       5.757632974853e-16       6.535996315723e-12       9.897713466997e-13      -6.044701354695e-15 
  119       4.468005853440e-10       1.367552381881e-13      -4.738835583463e-12       5.858877914337e-16       6.388010174311e-12       9.724176670749e-13      -5.974176034637e-15 
  120       4.513958738640e-10       1.380347307284e-13      -4.816191383002e-12       5.961181642601e-16       6.244466168278e-12       9.555005527609e-13      -5.902711697670e-15 
